Fund Code,Date,Cash Flow,Expenses,ROC,Dist. Sub. To Recall,Income,Growth,Book,NAV,Commitment,Qtr Valuation,Notes,Type
BCPE112014,6/27/17,-225000,,,,, $-   ,225000,225000,-225000,,,
BCPE112014,8/11/17,-300000,,,,, $-   ,300000,300000,-300000,,,
BCPE112014,8/25/17,-837500,,,,, $-   ,837500,837500,-837500,,,
BCPE112014,9/30/17, $-   ,,,,,646922, $-   ,646922, $-   ,4892670,,
BCPE112014,10/6/17,119464,,117119,110571,2345, $-   ,-117119,-119464,110571,,,
BCPE112014,12/28/17,-37500,,,,, $-   ,37500,37500,-37500,,,
BCPE112014,12/28/17,354535,,123130,129377,231405, $-   ,-123130,-354535,129377,,,
NHPE012013,9/1/13,,,,,, $-   , $-   ,,5000000,,Initial Commitment,
NHPE012013,10/1/13,-74058,-74058,,,, $-   , $-   , $-   ,-74058,,,
NHPE012013,1/6/14,-25000,-25000,,,, $-   , $-   , $-   ,-25000,,,
NHPE012013,4/14/14,-25000,-25000,,,, $-   , $-   , $-   ,-25000,,,
NHPE012013,5/20/14,-515045,,,,, $-   ,515045,515045,-515045,,EPTAM Investment,
NHPE012013,5/20/14,-19448,-19448,,,, $-   , $-   , $-   ,-19448,,,
NHPE012013,6/30/14,,,,,,-16315, $-   ,-16315, $-   ,498730,Quarterly Valuation,
NHPE012013,7/25/14,-4598,-4598,,,, $-   , $-   , $-   ,-4598,,,
NHPE012013,7/25/14,20148,,20148,20148,, $-   ,-20148,-20148,20148,,Return of Capital - EPTAM Reallocation,
NHPE012013,9/30/14,,,,,,19318, $-   ,19318, $-   ,497900,,
NHPE012013,10/6/14,-25000,-25000,,,, $-   , $-   , $-   ,-25000,,,
NHPE012013,12/31/14,,,,,,-2815, $-   ,-2815, $-   ,495085,,
NHPE012013,1/6/15,-25738,-25738,,,, $-   , $-   , $-   ,-25738,,,
NHPE012013,3/31/15,,,,,,1228, $-   ,1228, $-   ,496313,,
NHPE012013,4/6/15,-25673,-25673,,,, $-   , $-   , $-   ,-25673,,,
NHPE012013,6/30/15,,,,,,827, $-   ,827, $-   ,497140,,
NHPE012013,7/6/15,-24596,-24596,,,, $-   , $-   , $-   ,-24596,,,
NHPE012013,9/30/15,,,,,,-237, $-   ,-237, $-   ,496903,,
NHPE012013,10/6/15,-25135,-25135,,,, $-   , $-   , $-   ,-25135,,,
NHPE012013,12/31/15,,,,,,-74879, $-   ,-74879, $-   ,422024,,
NHPE012013,1/6/16,-25942,-25942,,,, $-   , $-   , $-   ,-25942,,,
NHPE012013,3/31/16,,,,,,1329, $-   ,1329, $-   ,423353,,
NHPE012013,4/6/16,-25942,-25942,,,, $-   , $-   , $-   ,-25942,,,
NHPE012013,6/30/16,,,,,,-81862, $-   ,-81862, $-   ,341491,,
NHPE012013,7/7/16,-25404,-25404,,,, $-   , $-   , $-   ,-25404,,,
NHPE012013,9/30/16,,,,,,-155249, $-   ,-155249, $-   ,186242,,
NHPE012013,10/5/16,-687660,,,,, $-   ,687660,687660,-687660,,Execu|Search Investment,
NHPE012013,10/12/16,-15729,-15729,,,, $-   , $-   , $-   ,-15729,,,
NHPE012013,12/31/16, $-   ,,,,,352234, $-   ,352234, $-   ,1226136,Year End Valuation,
NHPE012013,1/6/17,-26481,-26481,,,, $-   , $-   , $-   ,-26481,,,
NHPE012013,2/1/17,-823464,,,,, $-   ,823464,823464,-823464,,Continental Investment,
NHPE012013,2/1/17,-2154,-2154,,,, $-   , $-   , $-   ,-2154,,,
NHPE012013,3/31/17,,,,,,-11982, $-   ,-11982, $-   ,2037618,,
NHPE012013,4/6/17, $-   , $-   ,,,, $-   , $-   , $-   , $-   ,,,
NHPE012013,6/30/17,,,,,,-24892, $-   ,-24892, $-   ,2012726,,
NHPE012013,7/7/17,-17274,-17274,,,, $-   , $-   , $-   ,-17274,,,
NHPE012013,7/13/17,35664,,,,, $-   ,-35664,-35664, $-   ,,Tax Distribution,
NHPE012013,9/20/17,18339,,,,, $-   ,-18339,-18339, $-   ,,Tax Distribution,
NHPE012013,9/30/17,,,,,,70113, $-   ,70113, $-   ,2028836,,
NHPE012013,10/10/17,-26010,-26010,,,, $-   , $-   , $-   ,-26010,,,
NHPE012013,1/8/18,-26548,-26548,,,, $-   , $-   , $-   ,-26548,,,
NHPE012013,1/12/18,33558,,,,, $-   ,-33558,-33558, $-   ,,Tax Distribution,
MPPE012015GB,3/1/16, $-   ,,,,, $-   , $-   , $-   ,5000000,,GBMC Committed Capital,
MPPE012015GB,3/15/16,-70784,-70784,,,, $-   , $-   , $-   ,-70784,,Fees,Contribution
MPPE012015GB,3/15/16,-249390,,,,, $-   ,249390,249390,-249390,,Investment – Chuze Fitness,Contribution
MPPE012015GB,3/15/16,-26887,-26887,,,, $-   , $-   , $-   ,-26887,,Interest Due,Contribution
MPPE012015GB,3/15/16,-243902,,,,, $-   ,243902,243902,-243902,,Investment – Arch Global Precision,Contribution
MPPE012015GB,3/31/16,,,,,,-11946, $-   ,-11946, $-   ,481346,NAV,NAV
MPPE012015GB,4/26/16,-40978,-40978,,,, $-   , $-   , $-   ,-40978,,Fees,Contribution
MPPE012015GB,6/30/16,,,,,,16291, $-   ,16291, $-   ,497637,NAV,NAV
MPPE012015GB,8/1/16,-42359,-42359,,,, $-   , $-   , $-   ,-42359,,Fees,Contribution
MPPE012015GB,8/1/16,-408577,,,,, $-   ,408577,408577,-408577,,Investment - EagleRider,Contribution
MPPE012015GB,8/1/16,-41301,,,,, $-   ,41301,41301,-41301,,Investment - Arch Global Precision Add-on,Contribution
MPPE012015GB,8/1/16,4315,,4315,4315,, $-   ,-4315,-4315,4315,,Return of Capital,Contribution
MPPE012015GB,9/30/16,,,,,,102458, $-   ,102458, $-   ,1045657,NAV,NAV
MPPE012015GB,12/31/16,,,,,,-3422, $-   ,-3422, $-   ,1042235,NAV,NAV
MPPE012015GB,1/25/17,-59803,-59803,,,, $-   , $-   , $-   ,-59803,,Fees,Contribution
MPPE012015GB,1/27/17,-196463,,,,, $-   ,196463,196463,-196463,,Equity Investment,Contribution
MPPE012015GB,3/31/17,,,,,,185760, $-   ,185760, $-   ,1424458,NAV,NAV
MPPE012015GB,5/11/17,-121951,,,,, $-   ,121951,121951,-121951,,Investment - Milk Makeup,Contribution
MPPE012015GB,5/11/17,-9771,-9771,,,, $-   , $-   , $-   ,-9771,,Waived Fee Contribution,Contribution
MPPE012015GB,5/11/17,-406037,,,,, $-   ,406037,406037,-406037,,Investment - KUIU,Contribution
MPPE012015GB,6/30/17,,,,,,-42966, $-   ,-42966, $-   ,1909480,NAV,NAV
MPPE012015GB,7/14/17,-48176,-48176,,,, $-   , $-   , $-   ,-48176,,Management Fees (w/ offsets) Q2 2017,Contribution
MPPE012015GB,9/30/17,,,,,,34405, $-   ,34405, $-   ,1943885,NAV,NAV
MPPE012015GB,12/31/17,,,,,,102742, $-   ,102742, $-   ,2046627,NAV,NAV
MPPE012015GB,2/9/18,-24446,-24446,,,, $-   , $-   , $-   ,-24446,,Fees,Contribution
MPPE012015GB,3/13/18,-35061,,,,, $-   ,35061,35061,-35061,,Milk Makeup Investment & Waived Fee Contribution,Contribution
MPPE012015GB,3/31/18,,,,,,9567, $-   ,9567, $-   ,2091255,NAV,NAV
MPPE012015GB,4/12/18,-411024,,,,, $-   ,411024,411024,-411024,,"Fortis Solutions Group, LLC Investment",Contribution
MPPE012015GB,4/12/18,-34385,-34385,,,, $-   , $-   , $-   ,-34385,,Fees,Contribution
RVVC1A2013BG,11/1/13, $-   ,,,,, $-   ,,,550000,,,
RVVC1A2013BG,11/18/13,-117412,,,,, $-   ,117412,117412,-117412,,,
RVVC1A2013BG,12/31/13,,,,,,-3734, $-   ,-3734, $-   ,113678,,
RVVC1A2013BG,2/17/14,-58249,,,,, $-   ,58249,58249,-58249,,,
RVVC1A2013BG,4/12/14,-124339,,,,, $-   ,124339,124339,-124339,,,
RVVC1A2013BG,12/22/14,-57500,,,,, $-   ,57500,57500,-57500,,,
RVVC1A2013BG,12/31/14,,,,,,52639, $-   ,52639, $-   ,406405,,
RVVC1A2013BG,3/6/15,23583,,,,, $-   ,-23583,-23583, $-   ,,,
RVVC1A2013BG,3/31/15,,,,,,57637, $-   ,57637, $-   ,440458,,
RVVC1A2013BG,5/11/15,-110000,,,,, $-   ,110000,110000,-110000,,,
RVVC1A2013BG,6/30/15,,,,,,20889, $-   ,20889, $-   ,571347,,
RVVC1A2013BG,8/26/15,-55000,,,,, $-   ,55000,55000,-55000,,,
RVVC1A2013BG,9/30/15,,,,,,1308, $-   ,1308, $-   ,627655,,
RVVC1A2013BG,12/31/15,,,,,,-1261, $-   ,-1261, $-   ,626393,,
RVVC1A2013BG,3/31/16,,,,,,54593, $-   ,54593, $-   ,680986,,
RVVC1A2013BG,6/30/16,,,,,,-9615, $-   ,-9615, $-   ,671371,,
RVVC1A2013BG,9/21/16,-11000,,,,, $-   ,11000,11000,-11000,,,
RVVC1A2013BG,9/30/16,,,,,,-22926, $-   ,-22926, $-   ,659445,,
RVVC1A2013BG,12/31/16,,,,,,-11873, $-   ,-11873, $-   ,647572,,
RVVC1A2013BG,3/31/17,,,,,,120857, $-   ,120857, $-   ,768429,,
RVVC1A2013BG,5/15/17,-11000,,,,, $-   ,11000,11000,-11000,,,
RVVC1A2013BG,6/30/17,,,,,,-61435, $-   ,-61435, $-   ,717994,,
RVVC1A2013BG,9/30/17,,,,,,36847, $-   ,36847, $-   ,754841,,
RVVC1A2013BG,10/27/17,62031,,,,, $-   ,-62031,-62031, $-   ,,,
RVVC1A2013M1,11/1/13, $-   ,,,,, $-   ,,,1500000,,,
RVVC1A2013M1,11/18/13,-391372,,,,, $-   ,391372,391372,-391372,,,
RVVC1A2013M1,12/31/13,,,,,,-12447, $-   ,-12447, $-   ,378925,,
RVVC1A2013M1,2/17/14,-194163,,,,, $-   ,194163,194163,-194163,,,
RVVC1A2013M1,4/12/14,-414465,,,,, $-   ,414465,414465,-414465,,,
RVVC1A2013M1,12/22/14,25000,,25000,25000,, $-   ,-25000,-25000,25000,,,
RVVC1A2013M1,12/31/14,,,,,,145823, $-   ,145823, $-   ,1108376,,
RVVC1A2013M1,3/6/15,64318,,,,, $-   ,-64318,-64318, $-   ,,,
RVVC1A2013M1,3/31/15,,,,,,-24628, $-   ,-24628, $-   ,1019430,,
RVVC1A2013M1,5/11/15,-300000,,,,, $-   ,300000,300000,-300000,,,
RVVC1A2013M1,6/30/15,,,,,,238788, $-   ,238788, $-   ,1558218,,
RVVC1A2013M1,8/26/15,-150000,,,,, $-   ,150000,150000,-150000,,,
RVVC1A2013M1,9/30/15,,,,,,3566, $-   ,3566, $-   ,1711784,,
RVVC1A2013M1,12/31/15,,,,,,-3440, $-   ,-3440, $-   ,1708344,,
RVVC1A2013M1,3/31/16,,,,,,148890, $-   ,148890, $-   ,1857234,,
RVVC1A2013M1,6/30/16,,,,,,-26224, $-   ,-26224, $-   ,1831010,,
RVVC1A2013M1,9/21/16,-30000,,,,, $-   ,30000,30000,-30000,,,
RVVC1A2013M1,9/30/16,,,,,,-62525, $-   ,-62525, $-   ,1798485,,
RVVC1A2013M1,12/31/16,,,,,,-32381, $-   ,-32381, $-   ,1766104,,
RVVC1A2013M1,3/31/17,,,,,,329610, $-   ,329610, $-   ,2095714,,
RVVC1A2013M1,5/15/17,-30000,,,,, $-   ,30000,30000,-30000,,,
RVVC1A2013M1,6/30/17,,,,,,-167549, $-   ,-167549, $-   ,1958164,,
RVVC1A2013M1,9/30/17,,,,,,100493, $-   ,100493, $-   ,2058657,,
RVVC1A2013M1,10/27/17,169175,,,,, $-   ,-169175,-169175, $-   ,,,
RVVC1A2013MI,12/1/14, $-   ,,,,, $-   ,,,500000,,,
RVVC1A2013MI,12/22/14,-325000,,,,, $-   ,325000,325000,-325000,,,
RVVC1A2013MI,12/31/14,,,,,,44459, $-   ,44459, $-   ,369459,,
RVVC1A2013MI,3/6/15,21439,,,,, $-   ,-21439,-21439, $-   ,,,
RVVC1A2013MI,3/31/15,,,,,,325124, $-   ,325124, $-   ,673143,,
RVVC1A2013MI,5/11/15,-100000,,,,, $-   ,100000,100000,-100000,,,
RVVC1A2013MI,6/30/15,,,,,,-253737, $-   ,-253737, $-   ,519406,,
RVVC1A2013MI,8/26/15,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC1A2013MI,9/30/15,,,,,,1189, $-   ,1189, $-   ,570595,,
RVVC1A2013MI,12/31/15,,,,,,-1147, $-   ,-1147, $-   ,569448,,
RVVC1A2013MI,3/31/16,,,,,,49630, $-   ,49630, $-   ,619078,,
RVVC1A2013MI,6/30/16,,,,,,-8741, $-   ,-8741, $-   ,610337,,
RVVC1A2013MI,9/21/16,-10000,,,,, $-   ,10000,10000,-10000,,,
RVVC1A2013MI,9/30/16,,,,,,-20842, $-   ,-20842, $-   ,599495,,
RVVC1A2013MI,12/31/16,,,,,,-10794, $-   ,-10794, $-   ,588701,,
RVVC1A2013MI,3/31/17,,,,,,109870, $-   ,109870, $-   ,698571,,
RVVC1A2013MI,5/15/17,-10000,,,,, $-   ,10000,10000,-10000,,,
RVVC1A2013MI,6/30/17,,,,,,-55850, $-   ,-55850, $-   ,652721,,
RVVC1A2013MI,9/30/17,,,,,,33498, $-   ,33498, $-   ,686219,,
RVVC1A2013MI,10/27/17,56392,,,,, $-   ,-56392,-56392, $-   ,,,
RVVC1A2013FH,11/1/13, $-   ,,,,, $-   ,,,2000000,,,
RVVC1A2013FH,11/18/13,-391372,,,,, $-   ,391372,391372,-391372,,,
RVVC1A2013FH,12/31/13,,,,,,-12447, $-   ,-12447, $-   ,378925,,
RVVC1A2013FH,2/17/14,-194163,,,,, $-   ,194163,194163,-194163,,,
RVVC1A2013FH,4/12/14,-414465,,,,, $-   ,414465,414465,-414465,,,
RVVC1A2013FH,12/22/14,-300000,,,,, $-   ,300000,300000,-300000,,,
RVVC1A2013FH,12/31/14,,,,,,190282, $-   ,190282, $-   ,1477835,,
RVVC1A2013FH,3/6/15,85758,,,,, $-   ,-85758,-85758, $-   ,,,
RVVC1A2013FH,3/31/15,,,,,,300495, $-   ,300495, $-   ,1692573,,
RVVC1A2013FH,5/11/15,-400000,,,,, $-   ,400000,400000,-400000,,,
RVVC1A2013FH,6/30/15,,,,,,-14949, $-   ,-14949, $-   ,2077624,,
RVVC1A2013FH,8/26/15,-200000,,,,, $-   ,200000,200000,-200000,,,
RVVC1A2013FH,9/30/15,,,,,,4755, $-   ,4755, $-   ,2282378,,
RVVC1A2013FH,12/31/15,,,,,,-4587, $-   ,-4587, $-   ,2277792,,
RVVC1A2013FH,3/31/16,,,,,,198520, $-   ,198520, $-   ,2476312,,
RVVC1A2013FH,6/30/16,,,,,,-34965, $-   ,-34965, $-   ,2441347,,
RVVC1A2013FH,9/21/16,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC1A2013FH,9/30/16,,,,,,-83367, $-   ,-83367, $-   ,2397980,,
RVVC1A2013FH,12/31/16,,,,,,-43175, $-   ,-43175, $-   ,2354805,,
RVVC1A2013FH,3/31/17,,,,,,439479, $-   ,439479, $-   ,2794284,,
RVVC1A2013FH,5/15/17,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC1A2013FH,6/30/17,,,,,,-223399, $-   ,-223399, $-   ,2610885,,
RVVC1A2013FH,9/30/17,,,,,,133990, $-   ,133990, $-   ,2744876,,
RVVC1A2013FH,10/27/17,225566,,,,, $-   ,-225566,-225566, $-   ,,,
RVVC012013BG,2/1/13, $-   ,,,,, $-   ,,,750000,,,
RVVC012013BG,2/7/13,-484015,,,,, $-   ,484015,484015,-484015,,,
RVVC012013BG,5/15/13,-48635,,,,, $-   ,48635,48635,-48635,,,
RVVC012013BG,6/27/13,-47859,,,,, $-   ,47859,47859,-47859,,,
RVVC012013BG,10/10/13,-44867,,,,, $-   ,44867,44867,-44867,,,
RVVC012013BG,12/31/13,,,,,,95481, $-   ,95481, $-   ,720857,,
RVVC012013BG,3/31/14,,,,,,-12062, $-   ,-12062, $-   ,708796,,
RVVC012013BG,6/30/14,,,,,,60021, $-   ,60021, $-   ,768817,,
RVVC012013BG,7/22/14,-30000,,,,, $-   ,30000,30000,-30000,,,
RVVC012013BG,9/30/14,,,,,,172725, $-   ,172725, $-   ,971541,,
RVVC012013BG,12/29/14,-45000,,,,, $-   ,45000,45000,-45000,,,
RVVC012013BG,12/31/14,,,,,,223934, $-   ,223934, $-   ,1240475,,
RVVC012013BG,3/6/15,161625,,,,, $-   ,-161625,-161625, $-   ,,,
RVVC012013BG,3/6/15, $-   ,,,,, $-   , $-   , $-   , $-   ,,,
RVVC012013BG,3/31/15,,,,,,19659, $-   ,19659, $-   ,1098510,,
RVVC012013BG,6/30/15,,,,,,270334, $-   ,270334, $-   ,1368844,,
RVVC012013BG,9/30/15,,,,,,-56242, $-   ,-56242, $-   ,1312602,,
RVVC012013BG,12/31/15,,,,,,-23375, $-   ,-23375, $-   ,1289228,,
RVVC012013BG,3/31/16,,,,,,-15106, $-   ,-15106, $-   ,1274122,,
RVVC012013BG,6/30/16,,,,,,23917, $-   ,23917, $-   ,1298039,,
RVVC012013BG,9/21/16,-15000,,,,, $-   ,15000,15000,-15000,,,
RVVC012013BG,9/30/16,,,,,,-26145, $-   ,-26145, $-   ,1286893,,
RVVC012013BG,12/31/16,,,,,,-18705, $-   ,-18705, $-   ,1268188,,
RVVC012013BG,3/31/17,,,,,,16742, $-   ,16742, $-   ,1284930,,
RVVC012013BG,5/15/17,-15000,,,,, $-   ,15000,15000,-15000,,,
RVVC012013BG,6/30/17,,,,,,-61535, $-   ,-61535, $-   ,1238395,,
RVVC012013BG,8/17/17,-19624,,,,, $-   ,19624,19624,-19624,,,
RVVC012013BG,9/30/17,,,,,,53900, $-   ,53900, $-   ,1311918,,
RVVC012013BG,10/27/17,102471,,,,, $-   ,-102471,-102471, $-   ,,,
RVVC022013M1,2/1/13, $-   ,,,,, $-   ,,,2500000,,,
RVVC022013M1,2/7/13,-1613383,,,,, $-   ,1613383,1613383,-1613383,,,
RVVC022013M1,5/15/13,-162117,,,,, $-   ,162117,162117,-162117,,,
RVVC022013M1,6/27/13,-159528,,,,, $-   ,159528,159528,-159528,,,
RVVC022013M1,10/10/13,-149561,,,,, $-   ,149561,149561,-149561,,,
RVVC022013M1,12/31/13,,,,,,318268, $-   ,318268, $-   ,2402857,,
RVVC022013M1,3/31/14,,,,,,-40200, $-   ,-40200, $-   ,2362657,,
RVVC022013M1,6/30/14,,,,,,200070, $-   ,200070, $-   ,2562726,,
RVVC022013M1,7/22/14,-100000,,,,, $-   ,100000,100000,-100000,,,
RVVC022013M1,9/30/14,,,,,,575748, $-   ,575748, $-   ,3238475,,
RVVC022013M1,12/29/14,-150000,,,,, $-   ,150000,150000,-150000,,,
RVVC022013M1,12/31/14,,,,,,746447, $-   ,746447, $-   ,4134922,,
RVVC022013M1,3/6/15,538750,,,,, $-   ,-538750,-538750, $-   ,,,
RVVC022013M1,3/6/15, $-   ,,,,, $-   , $-   , $-   , $-   ,,,
RVVC022013M1,3/31/15,,,,,,65532, $-   ,65532, $-   ,3661704,,
RVVC022013M1,6/30/15,,,,,,901115, $-   ,901115, $-   ,4562818,,
RVVC022013M1,9/30/15,,,,,,-187473, $-   ,-187473, $-   ,4375346,,
RVVC022013M1,12/31/15,,,,,,-77915, $-   ,-77915, $-   ,4297431,,
RVVC022013M1,3/31/16,,,,,,-50354, $-   ,-50354, $-   ,4247077,,
RVVC022013M1,6/30/16,,,,,,79723, $-   ,79723, $-   ,4326800,,
RVVC022013M1,9/21/16,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC022013M1,9/30/16,,,,,,-87151, $-   ,-87151, $-   ,4289649,,
RVVC022013M1,12/31/16,,,,,,-62351, $-   ,-62351, $-   ,4227297,,
RVVC022013M1,3/31/17,,,,,,55807, $-   ,55807, $-   ,4283105,,
RVVC022013M1,5/15/17,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC022013M1,6/30/17,,,,,,-205118, $-   ,-205118, $-   ,4127987,,
RVVC022013M1,8/17/17,-65411,,,,, $-   ,65411,65411,-65411,,,
RVVC022013M1,9/30/17,,,,,,179666, $-   ,179666, $-   ,4373063,,
RVVC022013M1,10/27/17,341570,,,,, $-   ,-341570,-341570, $-   ,,,
RVVC012013FH,2/1/13, $-   ,,,,, $-   ,,,2500000,,,
RVVC012013FH,2/5/13,-1613383,,,,, $-   ,1613383,1613383,-1613383,,,
RVVC012013FH,5/15/13,-162118,,,,, $-   ,162118,162118,-162118,,,
RVVC012013FH,6/27/13,-159528,,,,, $-   ,159528,159528,-159528,,,
RVVC012013FH,10/10/13,-149560,,,,, $-   ,149560,149560,-149560,,,
RVVC012013FH,12/31/13,,,,,,318268, $-   ,318268, $-   ,2402857,,
RVVC012013FH,3/31/14,,,,,,-40200, $-   ,-40200, $-   ,2362657,,
RVVC012013FH,6/30/14,,,,,,200070, $-   ,200070, $-   ,2562726,,
RVVC012013FH,7/22/14,-100000,,,,, $-   ,100000,100000,-100000,,,
RVVC012013FH,9/30/14,,,,,,575748, $-   ,575748, $-   ,3238475,,
RVVC012013FH,12/29/14,-150000,,,,, $-   ,150000,150000,-150000,,,
RVVC012013FH,12/31/14,,,,,,746447, $-   ,746447, $-   ,4134922,,
RVVC012013FH,3/6/15,538750,,,,, $-   ,-538750,-538750, $-   ,,,
RVVC012013FH,3/31/15,,,,,,65532, $-   ,65532, $-   ,3661704,,
RVVC012013FH,6/30/15,,,,,,901115, $-   ,901115, $-   ,4562818,,
RVVC012013FH,9/30/15,,,,,,-187473, $-   ,-187473, $-   ,4375346,,
RVVC012013FH,12/31/15,,,,,,-77915, $-   ,-77915, $-   ,4297431,,
RVVC012013FH,3/31/16,,,,,,-50354, $-   ,-50354, $-   ,4247077,,
RVVC012013FH,6/30/16,,,,,,79723, $-   ,79723, $-   ,4326800,,
RVVC012013FH,9/21/16,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC012013FH,9/30/16,,,,,,-87151, $-   ,-87151, $-   ,4289649,,
RVVC012013FH,12/31/16,,,,,,-62351, $-   ,-62351, $-   ,4227297,,
RVVC012013FH,3/31/17,,,,,,55807, $-   ,55807, $-   ,4283105,,
RVVC012013FH,5/15/17,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC012013FH,6/30/17,,,,,,-205118, $-   ,-205118, $-   ,4127987,,
RVVC012013FH,8/17/17,-65411,,,,, $-   ,65411,65411,-65411,,,
RVVC012013FH,9/30/17,,,,,,179666, $-   ,179666, $-   ,4373063,,
RVVC012013FH,10/27/17,341570,,,,, $-   ,-341570,-341570, $-   ,,,
RVVC022014BG,7/1/14, $-   ,,,,, $-   ,,,1000000,,,
RVVC022014BG,7/7/14,-170000,,,,, $-   ,170000,170000,-170000,,,
RVVC022014BG,9/30/14,,,,,,-7017, $-   ,-7017, $-   ,162983,,
RVVC022014BG,12/1/14,-120000,,,,, $-   ,120000,120000,-120000,,,
RVVC022014BG,12/31/14,,,,,,-11821, $-   ,-11821, $-   ,271161,,
RVVC022014BG,2/18/15,-120000,,,,, $-   ,120000,120000,-120000,,,
RVVC022014BG,3/31/15,,,,,,-14577, $-   ,-14577, $-   ,376584,,
RVVC022014BG,4/15/15,-60000,,,,, $-   ,60000,60000,-60000,,,
RVVC022014BG,6/16/15,-100000,,,,, $-   ,100000,100000,-100000,,,
RVVC022014BG,6/30/15,,,,,,18705, $-   ,18705, $-   ,555290,,
RVVC022014BG,7/16/15,-80000,,,,, $-   ,80000,80000,-80000,,,
RVVC022014BG,9/22/15,-80000,,,,, $-   ,80000,80000,-80000,,,
RVVC022014BG,9/30/15,,,,,,24029, $-   ,24029, $-   ,739319,,
RVVC022014BG,12/8/15,-70000,,,,, $-   ,70000,70000,-70000,,,
RVVC022014BG,12/31/15,,,,,,-464, $-   ,-464, $-   ,808854,,
RVVC022014BG,3/31/16,,,,,,30811, $-   ,30811, $-   ,839666,,
RVVC022014BG,4/4/16,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC022014BG,6/30/16,,,,,,-22847, $-   ,-22847, $-   ,856819,,
RVVC022014BG,7/20/16,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC022014BG,9/30/16,,,,,,85168, $-   ,85168, $-   ,981987,,
RVVC022014BG,12/31/16,,,,,,34813, $-   ,34813, $-   ,1016800,,
RVVC022014BG,3/23/17,22259,,,,, $-   ,-22259,-22259, $-   ,,,
RVVC022014BG,3/31/17,,,,,,28276, $-   ,28276, $-   ,1022817,,
RVVC022014BG,6/30/17,,,,,,171555, $-   ,171555, $-   ,1194372,,
RVVC022014BG,7/24/17,-20000,,,,, $-   ,20000,20000,-20000,,,
RVVC022014BG,9/30/17,,,,,,6083, $-   ,6083, $-   ,1220455,,
RVVC022014BG,11/27/17,-30000,,,,, $-   ,30000,30000,-30000,,,
RVVC022014M2,8/1/14, $-   ,,,,, $-   ,,,1500000,,,
RVVC022014M2,8/20/14,-255000,,,,, $-   ,255000,255000,-255000,,,Contribution
RVVC022014M2,9/30/14,,,,,,-10526, $-   ,-10526, $-   ,244474,,NAV
RVVC022014M2,12/1/14,-180000,,,,, $-   ,180000,180000,-180000,,,Contribution
RVVC022014M2,12/31/14,,,,,,-17732, $-   ,-17732, $-   ,406742,,NAV
RVVC022014M2,2/18/15,-180000,,,,, $-   ,180000,180000,-180000,,,Contribution
RVVC022014M2,3/31/15,,,,,,-21866, $-   ,-21866, $-   ,564876,,NAV
RVVC022014M2,4/15/15,-90000,,,,, $-   ,90000,90000,-90000,,,Contribution
